Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Combined,Outlet_Code
NCA54,16.5,1,0.061330521,178.7318,OUT010,11,1,2,0,360.8636,2,0
FDT46,11.35,0,0.030869612,49.8008,OUT045,7,1,1,1,708.4112,1,7
FDH20,16.1,2,0.024944396,95.441,OUT035,5,2,1,1,2220.4429999999998,1,6
FDT38,18.7,0,0.057654132000000004,83.1566,OUT045,7,1,1,1,1606.5754,1,7
NCI17,8.645,1,0.14371350800000002,96.641,OUT045,7,1,1,1,868.8689999999999,2,7
FDO40,17.1,0,0.032812668999999996,147.1392,OUT017,2,1,1,1,2237.0879999999997,1,2
FDP12,9.8,2,0.045266806,36.9874,OUT046,12,2,0,1,705.748,1,8
FDI44,12.792854228644991,0,0.09974748800000001,75.2328,OUT027,24,1,2,3,1544.656,1,5
FDB21,12.792854228644991,0,0.144612242,242.9854,OUT027,24,1,2,3,6767.1912,1,5
FDG16,15.25,0,0.089742065,213.7192,OUT013,22,0,2,1,1078.596,1,1
NCZ42,10.5,1,0.011351778,236.5248,OUT017,2,1,1,1,4029.4216,2,2
NCJ30,5.82,1,0.081096613,170.37900000000002,OUT017,2,1,1,1,1018.674,2,2
FDV49,10.0,0,0.025827199,263.2226,OUT046,12,2,0,1,3700.5164,1,8
NCO43,5.5,1,0.045419503666666666,103.1016,OUT045,7,1,1,1,2024.0320000000002,2,7
NCF18,18.35,1,0.148938624,191.9504,OUT010,11,1,2,0,767.0016,2,0
NCX41,19.0,1,0.0172910377,211.0244,OUT010,11,1,2,0,1482.0708,2,0
FDY11,6.71,2,0.029535852,67.5142,OUT013,22,0,2,1,593.2278,1,1
FDU46,10.3,2,0.011143598999999999,88.25399999999999,OUT049,10,1,0,1,1125.202,1,9
NCI18,18.35,1,0.014045832,222.7746,OUT049,10,1,0,1,1570.6222,2,9
FDL38,13.8,2,0.014730321999999999,90.9172,OUT035,5,2,1,1,2141.2128,1,6
FDY60,10.5,2,0.026520107,144.8128,OUT017,2,1,1,1,2157.192,1,2
FDF53,20.75,2,0.08373655099999999,178.7318,OUT049,10,1,0,1,3428.2042,1,9
NCM05,12.792854228644991,1,0.059557164,263.7226,OUT027,24,1,2,3,6872.3876,2,5
FDR13,9.895,2,0.028837829,117.8492,OUT018,0,1,2,2,1506.0396,1,3
FDA49,12.792854228644991,0,0.11366962900000001,89.0198,OUT019,24,2,0,0,174.4396,1,4
FDY52,12.792854228644991,0,0.012865901,59.3536,OUT019,24,2,0,0,122.5072,1,4
FDL02,12.792854228644991,2,0.182236555,107.1622,OUT019,24,2,0,0,211.7244,1,4
FDO24,11.1,0,0.17606902300000002,156.7604,OUT013,22,0,2,1,1901.5248,1,1
FDM08,10.1,2,0.053574075,223.7088,OUT035,5,2,1,1,2684.5056,1,6
FDJ02,12.792854228644991,2,0.044063785,147.2418,OUT019,24,2,0,0,294.2836,1,4
FDW40,14.0,2,0.105573769,143.9812,OUT018,0,1,2,2,1139.8496,1,3
FDT46,12.792854228644991,0,0.030657949,50.5008,OUT027,24,1,2,3,1012.0160000000001,1,5
FDY08,9.395,2,0.172042892,139.9838,OUT017,2,1,1,1,1966.7732,1,2
FDM21,12.792854228644991,0,0.064052392,256.1646,OUT027,24,1,2,3,7472.2734,1,5
FDH26,12.792854228644991,2,0.034531702000000004,142.2496,OUT027,24,1,2,3,2399.5432,1,5
NCM42,6.13,1,0.028365524,110.0912,OUT049,10,1,0,1,1637.868,2,9
FDW13,8.5,0,0.09786620900000001,51.1324,OUT035,5,2,1,1,1350.2424,1,6
FDN04,12.792854228644991,2,0.01401884,178.1344,OUT027,24,1,2,3,3747.1224,1,5
NCD07,9.1,1,0.04158397637499999,114.4518,OUT046,12,2,0,1,1593.9252,2,8
FDB34,15.25,0,0.044539370999999994,85.3198,OUT010,11,1,2,0,261.6594,1,0
FDD09,13.5,0,0.02073704555555556,179.9976,OUT013,22,0,2,1,4889.6352,1,1
DRH59,10.8,0,0.056353798000000004,72.33800000000001,OUT049,10,1,0,1,805.618,0,9
DRN36,15.2,0,0.050168354000000005,95.3752,OUT035,5,2,1,1,1438.128,0,6
DRA24,19.35,2,0.040154087000000005,164.6868,OUT017,2,1,1,1,1146.5076,0,2
FDY36,12.792854228644991,0,0.009364957,74.238,OUT027,24,1,2,3,1171.808,1,5
FDG34,11.5,2,0.037539164,106.9254,OUT013,22,0,2,1,3038.7112,1,1
FDK43,9.8,0,0.026992587999999998,127.302,OUT017,2,1,1,1,2277.036,1,2
NCM06,7.475,1,0.076156245,156.4656,OUT017,2,1,1,1,2008.0528,2,2
FDK22,9.8,0,0.026192765,215.685,OUT018,0,1,2,2,649.155,1,3
FDF21,12.792854228644991,2,0.058542509000000006,188.35299999999998,OUT027,24,1,2,3,4364.319,1,5
FDO33,14.75,0,0.089686322,115.3518,OUT018,0,1,2,2,1821.6288,1,3
NCO43,5.5,1,0.047364617000000005,100.0016,OUT017,2,1,1,1,708.4112,2,2
FDX15,17.2,0,0.156269303,159.6578,OUT035,5,2,1,1,3048.6982,1,6
FDS10,19.2,0,0.035185588,181.3318,OUT046,12,2,0,1,1443.4544,1,8
FDD46,12.792854228644991,0,0.247321039,152.3998,OUT019,24,2,0,0,153.7998,1,4
FDV22,14.85,2,0.009979271,155.763,OUT018,0,1,2,2,3129.26,1,3
NCR29,7.565,1,0.054863459,58.393,OUT018,0,1,2,2,509.337,2,3
FDU34,18.25,0,0.07562026200000001,123.8046,OUT017,2,1,1,1,3486.1288,1,2
FDZ35,9.6,2,0.02236923,104.79899999999999,OUT018,0,1,2,2,1341.5870000000002,1,3
FDA26,7.855,2,0.07390646099999999,218.4482,OUT035,5,2,1,1,4819.0604,1,6
FDP38,10.1,0,0.032283676000000004,52.2008,OUT017,2,1,1,1,759.012,1,2
FDT22,10.395,0,0.11207602,58.022,OUT035,5,2,1,1,659.1419999999999,1,6
FDA50,16.25,0,0.087668236,94.941,OUT017,2,1,1,1,1737.7379999999998,1,2
FDY10,17.6,0,0.049067877,115.6176,OUT046,12,2,0,1,2519.3872,1,8
FDC09,15.5,2,0.026355345,100.8332,OUT045,7,1,1,1,1537.9979999999998,1,7
FDT19,7.59,2,0.145631695,172.808,OUT018,0,1,2,2,2250.404,1,3
FDO34,12.792854228644991,0,0.029793955,167.2816,OUT027,24,1,2,3,5704.5744,1,5
NCV54,11.1,1,0.033160417000000005,119.6124,OUT049,10,1,0,1,2251.7356,2,9
FDH57,12.792854228644991,0,0.035574413,131.4284,OUT027,24,1,2,3,5404.9644,1,5
FDA28,16.1,2,0.047801882999999996,127.4362,OUT046,12,2,0,1,2265.0516,1,8
FDB05,5.155,0,0.083198341,246.0776,OUT046,12,2,0,1,990.7104,1,8
FDK45,12.792854228644991,0,0.059281315,111.586,OUT019,24,2,0,0,339.55800000000005,1,4
DRH01,12.792854228644991,0,0.17141731600000001,173.0738,OUT019,24,2,0,0,347.5476,0,4
FDY52,6.365,0,0.007348286,62.8536,OUT046,12,2,0,1,796.2968,1,8
FDR48,11.65,0,0.12398521520000001,152.6024,OUT035,5,2,1,1,303.6048,1,6
FDY15,18.25,2,0.170795745,154.463,OUT035,5,2,1,1,2190.482,1,6
FDM51,11.8,2,0.025966531,102.2674,OUT049,10,1,0,1,2444.8176,1,9
FDR43,18.2,0,0.161489509,37.619,OUT046,12,2,0,1,366.19,1,8
FDW09,13.65,2,0.025899245,81.1302,OUT013,22,0,2,1,792.302,1,1
FDV44,8.365,2,0.039906377,191.3188,OUT049,10,1,0,1,1713.7692,1,9
DRH37,12.792854228644991,0,0.072864869,165.2526,OUT019,24,2,0,0,822.263,0,4
FDZ47,20.7,2,0.079419755,99.8042,OUT049,10,1,0,1,1488.0629999999999,1,9
NCP43,17.75,1,0.03050705,180.36599999999999,OUT046,12,2,0,1,2336.958,2,8
FDL26,18.0,0,0.073490977,157.3972,OUT018,0,1,2,2,778.9860000000001,1,3
DRM35,9.695,0,0.07084301900000001,177.7344,OUT017,2,1,1,1,1605.9096,0,2
FDM39,6.42,0,0.053688479000000004,178.3002,OUT018,0,1,2,2,2328.3026,1,3
DRD15,10.6,0,0.056911107,233.9642,OUT045,7,1,1,1,3717.8272,0,7
NCK06,5.03,1,0.014472516000000001,122.0756,OUT010,11,1,2,0,121.1756,2,0
FDV04,7.825,2,0.150319469,156.9288,OUT045,7,1,1,1,1571.2879999999998,1,7
FDG46,12.792854228644991,2,0.032750291,112.1518,OUT027,24,1,2,3,5351.0346,1,5
FDO19,17.7,2,0.016622448,50.2034,OUT049,10,1,0,1,1166.4816,1,9
NCN05,8.235,1,0.014482153000000001,182.295,OUT049,10,1,0,1,3661.9,2,9
DRA12,11.6,0,0.03493779266666667,141.6154,OUT045,7,1,1,1,3829.0158,0,7
FDJ02,17.2,2,0.025205909,149.1418,OUT049,10,1,0,1,1177.1344,1,9
NCK17,11.0,1,0.037971697,38.948,OUT045,7,1,1,1,519.3240000000001,2,7
FDO58,19.6,0,0.039544237,163.6526,OUT013,22,0,2,1,1151.1682,1,1
FDB22,8.02,0,0.11161392099999999,152.6998,OUT049,10,1,0,1,3383.5956,1,9
FDG33,5.365,2,0.140524691,172.7764,OUT045,7,1,1,1,2233.0932,1,7
FDK58,11.35,2,0.045073782,101.9016,OUT045,7,1,1,1,2631.2416,1,7
DRH49,12.792854228644991,0,0.043168763,82.8592,OUT019,24,2,0,0,165.1184,0,4
FDT43,16.35,0,0.020547951000000002,51.2324,OUT046,12,2,0,1,571.2564,1,8
NCR38,17.25,1,0.113694957,253.4724,OUT049,10,1,0,1,6040.1376,2,9
DRI39,13.8,0,0.097043739,57.493,OUT035,5,2,1,1,1358.2320000000002,0,6
NCZ05,8.485,1,0.058121214000000004,104.499,OUT035,5,2,1,1,1238.388,2,6
FDU21,11.8,2,0.07665661,32.3558,OUT013,22,0,2,1,169.77900000000002,1,1
NCP54,15.35,1,0.035204319,122.87299999999999,OUT049,10,1,0,1,2832.9790000000003,2,9
NCX29,10.0,1,0.08933333199999999,145.6102,OUT045,7,1,1,1,2624.5836,2,7
FDV01,19.2,2,0.0801194419,153.3314,OUT017,2,1,1,1,3257.7594,1,2
NCS17,18.6,1,0.080956792,95.2436,OUT017,2,1,1,1,1796.3284,2,2
NCN07,18.5,1,0.03391645,130.9284,OUT013,22,0,2,1,1713.7692,2,1
FDB14,20.25,2,0.102704495,94.31200000000001,OUT035,5,2,1,1,2982.784,1,6
NCJ18,12.35,1,0.163910938,119.2124,OUT035,5,2,1,1,1303.6364,2,6
FDF57,14.5,2,0.058827383,172.2448,OUT046,12,2,0,1,2897.5616,1,8
DRG01,14.8,0,0.044840933,78.367,OUT013,22,0,2,1,918.804,0,1
FDA02,14.0,2,0.029843736000000003,143.9786,OUT018,0,1,2,2,866.8716,1,3
DRJ37,10.8,0,0.061446997,150.4024,OUT017,2,1,1,1,2884.2456,0,2
NCP55,14.65,1,0.011180713,53.8614,OUT013,22,0,2,1,221.0456,2,1
FDW45,12.792854228644991,0,0.038822077,147.7418,OUT027,24,1,2,3,1618.5598,1,5
FDK38,6.65,0,0.05339798900000001,149.3734,OUT045,7,1,1,1,296.9468,1,7
NCZ30,6.59,1,0.043828293,121.4098,OUT010,11,1,2,0,241.0196,2,0
FDK08,12.792854228644991,2,0.21413978600000003,102.4016,OUT019,24,2,0,0,202.4032,1,4
DRY23,9.395,2,0.10907574199999999,42.9112,OUT035,5,2,1,1,426.11199999999997,0,6
FDT31,19.75,0,0.012448293999999999,188.2872,OUT046,12,2,0,1,2647.2208,1,8
FDU52,7.56,0,0.064030636,154.463,OUT018,0,1,2,2,2503.408,1,3
NCG19,20.25,1,0.14781046,234.8616,OUT013,22,0,2,1,2812.3392,2,1
NCR30,20.6,1,0.07113694799999999,76.3696,OUT045,7,1,1,1,372.848,2,7
FDN23,6.575,2,0.07566089,145.4444,OUT045,7,1,1,1,2612.5992,1,7
FDQ01,19.7,2,0.16102755,254.1014,OUT045,7,1,1,1,4845.0266,1,7
FDO22,13.5,2,0.029893094,81.096,OUT010,11,1,2,0,159.792,1,0
DRE13,6.28,0,0.027761288999999998,85.8198,OUT045,7,1,1,1,872.198,0,7
FDL44,18.25,0,0.012272797,160.2894,OUT035,5,2,1,1,3235.788,1,6
FDT34,9.3,0,0.174317307,106.7964,OUT035,5,2,1,1,841.5712,1,6
DRM23,16.6,0,0.135707553,170.6422,OUT035,5,2,1,1,1379.5376,0,6
FDF32,16.35,0,0.068219025,198.9426,OUT045,7,1,1,1,3559.3668,1,7
NCE18,10.0,1,0.021468792,251.675,OUT045,7,1,1,1,4244.475,2,7
FDA51,12.792854228644991,2,0.16388212900000002,113.2518,OUT027,24,1,2,3,3415.554,1,5
DRZ24,7.535,0,0.082250143,118.344,OUT017,2,1,1,1,3115.9440000000004,0,2
FDT48,4.92,0,0.046026479,196.5084,OUT049,10,1,0,1,3769.7596,1,9
DRG11,6.385,0,0.08086896066666667,108.9596,OUT046,12,2,0,1,1186.4556,0,8
FDE58,18.5,0,0.052149675,118.3124,OUT049,10,1,0,1,1540.6612,1,9
DRA12,11.6,0,0.040911824,142.3154,OUT013,22,0,2,1,2552.6772,0,1
FDP60,17.35,0,0.056235142,102.0016,OUT017,2,1,1,1,1619.2256,1,2
FDT10,16.7,2,0.062170334,60.9562,OUT045,7,1,1,1,829.5868,1,7
FDE05,10.895,2,0.032427039,147.7102,OUT013,22,0,2,1,1166.4816,1,1
FDC32,18.35,0,0.099309997,91.4462,OUT045,7,1,1,1,1665.8316,1,7
FDJ22,18.75,0,0.05310896,193.6504,OUT017,2,1,1,1,2876.256,1,2
NCH18,9.3,1,0.044843161,246.1802,OUT018,0,1,2,2,2702.4822,2,3
DRE37,12.792854228644991,0,0.164966345,189.4872,OUT019,24,2,0,0,189.0872,0,4
DRC13,8.26,2,0.032435437000000004,124.87299999999999,OUT035,5,2,1,1,2956.152,0,6
FDG47,12.8,0,0.06961884,260.3252,OUT046,12,2,0,1,8132.0812,1,8
FDY55,16.75,0,0.08165147,258.3988,OUT018,0,1,2,2,1541.9928,1,3
NCW29,12.792854228644991,1,0.028723187,131.83100000000002,OUT027,24,1,2,3,3635.268,2,5
NCT05,10.895,1,0.020994339,255.6672,OUT045,7,1,1,1,4346.3424,2,7
FDN50,16.85,2,0.026561057000000002,93.712,OUT049,10,1,0,1,466.06,1,9
FDU60,20.0,2,0.10026206800000001,169.6132,OUT010,11,1,2,0,169.1132,1,0
FDX02,16.0,0,0.05701260599999999,225.0404,OUT013,22,0,2,1,5851.0504,1,1
FDL34,16.0,0,0.041009558,141.2496,OUT049,10,1,0,1,2681.8424,1,9
DRF27,8.93,0,0.028578012000000003,152.234,OUT017,2,1,1,1,3828.35,0,2
FDZ35,9.6,2,0.021676376444444447,101.699,OUT049,10,1,0,1,2373.577,1,9
DRF03,12.792854228644991,0,0.045088724000000004,39.7138,OUT027,24,1,2,3,1096.5726,0,5
NCO41,12.792854228644991,1,0.018757586,96.9384,OUT027,24,1,2,3,2167.8448,2,5
FDQ59,9.8,2,0.056500895,85.8908,OUT045,7,1,1,1,1845.5976,1,7
NCZ53,9.6,1,0.024576875,186.6214,OUT018,0,1,2,2,1884.214,2,3
FDZ33,12.792854228644991,0,0.18803837199999998,146.4076,OUT019,24,2,0,0,147.8076,1,4
FDD34,7.945,0,0.015908485,161.421,OUT045,7,1,1,1,3425.5409999999997,1,7
NCM06,7.475,1,0.07584563400000001,156.0656,OUT049,10,1,0,1,1853.5872,2,9
FDY43,14.85,0,0.09880308800000001,169.7474,OUT018,0,1,2,2,673.7896,1,3
DRM23,16.6,0,0.227189581,173.9422,OUT010,11,1,2,0,172.4422,0,0
FDT20,10.5,0,0.041459803999999996,39.2164,OUT049,10,1,0,1,540.6296,1,9
FDG46,8.63,2,0.032882271,113.5518,OUT013,22,0,2,1,2732.4432,1,1
FDH10,21.0,0,0.049583899,193.8478,OUT017,2,1,1,1,1162.4868,1,2
FDF24,15.5,2,0.02536567,82.7934,OUT035,5,2,1,1,1228.401,1,6
FDG57,14.7,0,0.07229836,48.2034,OUT046,12,2,0,1,874.8612,1,8
FDN44,13.15,0,0.022924552,157.892,OUT017,2,1,1,1,1917.504,1,2
FDD32,17.7,2,0.040897932000000005,82.6276,OUT013,22,0,2,1,731.0484,1,1
FDI04,12.792854228644991,2,0.127660257,198.5426,OUT019,24,2,0,0,790.9704,1,4
FDA56,9.21,0,0.008764786,123.1414,OUT046,12,2,0,1,4264.4490000000005,1,8
DRG51,12.1,0,0.011604894,166.0526,OUT017,2,1,1,1,1480.0734,0,2
FDZ04,9.31,0,0.038169783,64.551,OUT017,2,1,1,1,1581.275,1,2
FDT13,14.85,0,0.018568129,188.2214,OUT035,5,2,1,1,3014.7424,1,6
FDY56,12.792854228644991,2,0.062109174,223.7062,OUT027,24,1,2,3,4965.5364,1,5
FDB51,6.92,0,0.038671588,64.2852,OUT017,2,1,1,1,438.0964,1,2
NCY29,13.65,1,0.077169841,55.593,OUT013,22,0,2,1,282.965,2,1
FDL34,16.0,0,0.041028937,142.6496,OUT045,7,1,1,1,1834.9448,1,7
NCQ38,16.35,1,0.013387211000000001,105.62799999999999,OUT049,10,1,0,1,1065.28,2,9
NCR41,12.792854228644991,1,0.017936715,93.7094,OUT027,24,1,2,3,4189.2136,2,5
FDY24,4.88,2,0.223440258,52.2298,OUT010,11,1,2,0,161.7894,1,0
NCA42,6.965,1,0.02436160988888889,159.6604,OUT045,7,1,1,1,3327.6684,2,7
FDB11,16.0,0,0.060942632000000004,225.6404,OUT049,10,1,0,1,2925.5252,1,9
FDG26,18.85,0,0.042641788,257.83299999999997,OUT035,5,2,1,1,5382.993,1,6
FDH24,20.7,0,0.021427082000000004,156.5288,OUT035,5,2,1,1,1571.2879999999998,1,6
FDX44,9.3,0,0.042930789000000004,88.5172,OUT013,22,0,2,1,1427.4752,1,1
FDT52,9.695,2,0.047697859,244.6144,OUT017,2,1,1,1,2695.1584,1,2
FDT04,17.25,0,0.10764721,39.3822,OUT017,2,1,1,1,314.2576,1,2
FDO58,19.6,0,0.039577173,166.1526,OUT046,12,2,0,1,2960.1468,1,8
FDR60,14.3,0,0.130415118,75.9328,OUT046,12,2,0,1,1158.492,1,8
NCL54,12.6,1,0.082921642,175.2054,OUT045,7,1,1,1,3502.1079999999997,2,7
FDW50,13.1,0,0.075515154,167.2158,OUT013,22,0,2,1,3008.0844,1,1
FDK43,12.792854228644991,0,0.046994717000000005,125.802,OUT019,24,2,0,0,253.00400000000002,1,4
FDQ32,17.85,2,0.04679836,123.8388,OUT018,0,1,2,2,866.8716,1,3
FDE29,8.905,0,0.143129124,58.8878,OUT046,12,2,0,1,1151.1682,1,8
NCN07,18.5,1,0.034013539,133.2284,OUT045,7,1,1,1,2768.3964,2,7
FDB37,20.25,2,0.022921735,240.7538,OUT013,22,0,2,1,3364.9532,1,1
FDD21,10.3,2,0.030616757,112.7176,OUT049,10,1,0,1,343.5528,1,9
FDX16,17.85,0,0.06575528,151.505,OUT013,22,0,2,1,2546.685,1,1
FDN46,7.21,2,0.144856342,100.5332,OUT049,10,1,0,1,1127.8652,1,9
FDV28,16.1,2,0.267352587,34.9558,OUT010,11,1,2,0,67.9116,1,0
FDR48,12.792854228644991,0,0.13086741300000002,150.8024,OUT027,24,1,2,3,4402.2696,1,5
FDW37,12.792854228644991,0,0.123449671,89.7488,OUT027,24,1,2,3,1901.5248,1,5
FDV40,17.35,0,0.014689006000000001,74.5038,OUT035,5,2,1,1,739.038,1,6
FDZ57,10.0,2,0.037918142,129.6994,OUT018,0,1,2,2,1413.4934,1,3
FDY46,18.6,0,0.047964395,185.0898,OUT049,10,1,0,1,2993.4368,1,9
FDX45,16.75,0,0.10501881699999999,155.263,OUT049,10,1,0,1,1721.0929999999998,1,9
FDB33,17.75,0,0.014577412,160.7262,OUT035,5,2,1,1,2864.2716,1,6
FDT58,9.0,0,0.143870574,169.4816,OUT010,11,1,2,0,503.3448,1,0
FDM39,6.42,0,0.053553794,178.6002,OUT049,10,1,0,1,3582.0040000000004,1,9
NCY41,16.75,1,0.075889215,37.6532,OUT045,7,1,1,1,575.2512,2,7
NCL31,7.39,1,0.120280989,142.747,OUT046,12,2,0,1,3149.2340000000004,2,8
NCJ31,19.2,1,0.182653772,243.0196,OUT046,12,2,0,1,3374.2744,2,8
FDO23,12.792854228644991,0,0.25637539,94.8436,OUT019,24,2,0,0,567.2616,1,4
FDN56,5.46,2,0.10703694300000001,144.2786,OUT035,5,2,1,1,288.9572,1,6
FDF04,17.5,0,0.013272106888888888,258.3304,OUT013,22,0,2,1,3358.2952,1,1
FDJ44,12.3,2,0.10623876800000001,176.1396,OUT013,22,0,2,1,3663.2316,1,1
FDS50,17.0,0,0.055545797,220.5114,OUT045,7,1,1,1,5321.0736,1,7
NCQ41,12.792854228644991,1,0.019386056999999998,194.5794,OUT027,24,1,2,3,3511.4292,2,5
FDA49,19.7,0,0.064921764,88.1198,OUT046,12,2,0,1,1744.396,1,8
NCZ06,19.6,1,0.094694278,254.9698,OUT017,2,1,1,1,2536.698,2,2
NCM43,14.5,1,0.019554705,162.421,OUT018,0,1,2,2,1957.4520000000002,2,3
FDH19,19.35,0,0.033060937,172.4738,OUT013,22,0,2,1,1911.5118,1,1
FDS15,9.195,2,0.078181964,106.7596,OUT049,10,1,0,1,4098.6648,1,9
FDO50,16.25,0,0.06729972233333333,90.2804,OUT018,0,1,2,2,1653.8472,1,3
FDJ20,20.7,2,0.100583009,123.5388,OUT018,0,1,2,2,1981.4208,1,3
NCI31,20.0,1,0.136124989,38.319,OUT010,11,1,2,0,146.476,2,0
FDU20,12.792854228644991,2,0.021353642000000003,122.1098,OUT027,24,1,2,3,3374.2744,1,5
DRK13,11.8,0,0.115167579,199.8084,OUT046,12,2,0,1,2380.9008,0,8
DRJ24,11.8,0,0.113559058,184.2924,OUT045,7,1,1,1,1850.924,0,7
FDI20,19.1,0,0.038641968,212.1586,OUT045,7,1,1,1,5909.6408,1,7
FDF10,15.5,2,0.157246634,145.6418,OUT045,7,1,1,1,2207.127,1,7
FDQ45,9.5,2,0.010917052,185.3608,OUT046,12,2,0,1,2021.3688,1,8
FDQ10,12.85,0,0.033172957,172.0422,OUT035,5,2,1,1,5345.7082,1,6
FDM36,11.65,2,0.05871972599999999,171.1422,OUT035,5,2,1,1,2931.5174,1,6
FDN12,15.6,0,0.07819473422222223,111.8544,OUT018,0,1,2,2,1454.1072,1,3
FDD50,18.85,0,0.141524348,168.4132,OUT013,22,0,2,1,2874.9244,1,1
FDG17,6.865,2,0.035895934,244.4486,OUT049,10,1,0,1,6353.0636,1,9
FDY58,11.65,0,0.039980643999999996,227.3694,OUT049,10,1,0,1,4567.388,1,9
NCK29,12.792854228644991,1,0.09666715740000001,123.473,OUT019,24,2,0,0,369.519,2,4
FDM32,20.5,0,0.018332638444444445,90.883,OUT010,11,1,2,0,89.883,1,0
FDL46,20.35,0,0.054056927000000005,116.8466,OUT046,12,2,0,1,2356.9320000000002,1,8
FDC51,10.895,2,0.009636821,121.87299999999999,OUT049,10,1,0,1,2463.46,1,9
FDF16,7.3,0,0.086266286,147.2076,OUT049,10,1,0,1,1921.4988,1,9
NCV54,11.1,1,0.033081388999999996,116.5124,OUT013,22,0,2,1,1066.6116,2,1
FDE35,7.06,2,0.043989429000000004,60.2904,OUT045,7,1,1,1,644.4944,1,7
FDA23,9.8,0,0.047178116,99.4016,OUT035,5,2,1,1,2428.8384,1,6
FDI46,9.5,0,0.074496043,251.9724,OUT045,7,1,1,1,2516.724,1,7
FDZ21,17.6,2,0.039189221,97.34100000000001,OUT013,22,0,2,1,965.41,1,1
DRK13,11.8,0,0.115819014,198.3084,OUT017,2,1,1,1,4563.3932,0,2
FDX36,9.695,2,0.129008866,226.9404,OUT017,2,1,1,1,2700.4848,1,2
FDY22,16.5,2,0.160371305,143.9128,OUT018,0,1,2,2,1581.9408,1,3
FDR32,12.792854228644991,2,0.085392428,226.7694,OUT027,24,1,2,3,6165.9738,1,5
DRF25,9.0,0,0.038925251,34.919000000000004,OUT046,12,2,0,1,476.04699999999997,0,8
FDK20,12.6,2,0.041557653,124.5072,OUT046,12,2,0,1,2450.144,1,8
DRI11,12.792854228644991,0,0.060237465,115.9834,OUT019,24,2,0,0,345.5502,0,4
FDH05,14.35,2,0.091098018,233.5984,OUT045,7,1,1,1,1853.5872,1,7
FDA46,13.6,0,0.11787402400000001,193.6136,OUT045,7,1,1,1,4471.5128,1,7
DRD24,13.85,0,0.030795085,143.3154,OUT046,12,2,0,1,1985.4156,0,8
FDL39,16.1,2,0.063689583,181.9318,OUT017,2,1,1,1,5954.2494,1,2
FDD52,18.25,2,0.184041545,110.15700000000001,OUT018,0,1,2,2,1867.569,1,3
FDR55,12.15,2,0.13283066,190.6872,OUT017,2,1,1,1,2269.0464,1,2
DRI13,15.35,0,0.020441939,216.4508,OUT017,2,1,1,1,5426.27,0,2
FDG31,12.792854228644991,0,0.037712875,64.4826,OUT027,24,1,2,3,2518.7214,1,5
FDP04,15.35,0,0.013840783999999998,65.2168,OUT045,7,1,1,1,958.752,1,7
FDH35,18.25,0,0.060198496,162.9526,OUT013,22,0,2,1,1151.1682,1,1
NCB42,11.8,1,0.008559556999999999,117.2492,OUT035,5,2,1,1,2432.8332,2,6
FDQ14,9.27,0,0.061883352999999995,147.905,OUT049,10,1,0,1,1647.855,1,9
FDI19,12.792854228644991,0,0.052085615,242.8512,OUT027,24,1,2,3,5816.4288,1,5
FDJ55,12.8,2,0.039385992,224.8404,OUT010,11,1,2,0,1575.2828,1,0
DRN59,15.0,0,0.064241345,45.206,OUT049,10,1,0,1,792.302,0,9
NCR06,12.5,1,0.006759519,42.8112,OUT013,22,0,2,1,639.168,2,1
NCF42,17.35,1,0.16724376900000001,176.2712,OUT013,22,0,2,1,2988.1104,2,1
FDG24,7.975,0,0.01469075,84.725,OUT018,0,1,2,2,1747.725,1,3
FDB58,10.5,2,0.013551445,142.0154,OUT018,0,1,2,2,2410.8618,1,3
FDQ56,12.792854228644991,0,0.105085956,82.3908,OUT027,24,1,2,3,3691.1952,1,5
NCV41,14.35,1,0.017038776999999998,112.5228,OUT046,12,2,0,1,1989.4104,2,8
FDW19,12.35,2,0.038718195,110.65700000000001,OUT017,2,1,1,1,2087.283,1,2
FDO56,10.195,2,0.075291577,119.1808,OUT010,11,1,2,0,351.5424,1,0
FDI41,18.5,2,0.0649345089,148.7418,OUT045,7,1,1,1,2501.4106,1,7
FDN10,11.5,0,0.04486434933333333,119.5124,OUT018,0,1,2,2,829.5868,1,3
FDY20,12.5,2,0.08208578700000001,92.2488,OUT018,0,1,2,2,1358.2320000000002,1,3
DRM37,12.792854228644991,0,0.09593100199999999,198.5768,OUT027,24,1,2,3,6897.688,0,5
FDV34,10.695,2,0.011448628999999998,72.9038,OUT045,7,1,1,1,1034.6532,1,7
NCX18,14.15,1,0.00879232,195.011,OUT035,5,2,1,1,1964.11,2,6
FDY10,17.6,0,0.049167388,114.9176,OUT045,7,1,1,1,1946.7992,1,7
NCZ17,12.792854228644991,1,0.079046992,39.8506,OUT027,24,1,2,3,1480.0734,2,5
FDT12,6.215,2,0.049580407,227.4062,OUT013,22,0,2,1,5191.2426,1,1
FDD57,18.1,0,0.022399592000000003,96.0094,OUT046,12,2,0,1,1808.9786,1,8
FDK45,11.65,0,0.033926852,111.586,OUT045,7,1,1,1,3395.58,1,7
FDJ57,7.42,2,0.021617397000000003,185.0582,OUT045,7,1,1,1,5201.2296,1,7
NCI31,20.0,1,0.0814536,36.819,OUT049,10,1,0,1,768.9989999999999,2,9
